"bob","25","bobs@email.com","44"
"Frida","45","fridas@email.com","38"
"Magda","34","magdas@email.com","39"
"Manfred","45","mandfreds@email.com","45"
"Erik","38","eriks@email.com","40"
"Linda","18","lindas@email.com","35"
"Yvonne","55","yvonnes@email.com","40"
"Dorte","25","drotes@email.com","41"
"Manny","32","mannys@email.com","45"
"Troels","35","troels@email.com","44"
"Ursela","28","urselas@email.com","39"
"Mads","27","mads@email.com","44"
"Jens","28","jens@email.com","44"
"Ole","30","oles@email.com","45"
"Bobby","28","bobbys@email.com","45"
"Trine","38","trines@email.com","40"
"Emma","22","emmas@email.com","41"
"Verner","42","verners@email.com","44"
"thorr","42","thorrs@email.com","42"
"Anisss","42","Anissss@email.com","42"
"Bobster","42","Bobsters@email.com","42"
yerte,35,yerte@email.com,44
